Metric,January,February,March,April,May,June,July,August,September,October,November,December
Avg Temp,19.7,23.3,27.3,31.8,34.0,33.2,28.4,28.4,29.1,29.4,24.7,22.4
Precipitation,1,1,1,2,7,80,290,265,85,12,2,1
Humidity,50,42,33,34,42,59,77,80,74,56,50,50
Rainy days,0,0,0,0,1,4,12,11,5,1,0,0
avg sun hours,9.5,10.0,9.0,10.0,10.5,8.0,4.0,3.5,7.5,9.5,9.0,9.5
